level,code,title,division_code,subdivision_code,group_code
division,A,"Agriculture, Forestry and Fishing",A,,
subdivision,01,Agriculture,A,01,
group,011,Nursery and Floriculture Production,A,01,011
class,0111,Nursery Production (Under Cover),A,01,011
class,0112,Nursery Production (Outdoors),A,01,011
class,0113,Turf Growing,A,01,011
class,0114,Floriculture Production (Under Cover),A,01,011
class,0115,Floriculture Production (Outdoors),A,01,011
group,012,Mushroom and Vegetable Growing,A,01,012
class,0121,Mushroom Growing,A,01,012
class,0122,Vegetable Growing (Under Cover),A,01,012
class,0123,Vegetable Growing (Outdoors),A,01,012
group,013,Fruit and Tree Nut Growing,A,01,013
class,0131,Grape Growing,A,01,013
class,0132,Kiwifruit Growing,A,01,013
class,0133,Berry Fruit Growing,A,01,013
class,0134,Apple and Pear Growing,A,01,013
class,0135,Stone Fruit Growing,A,01,013
class,0136,Citrus Fruit Growing,A,01,013
class,0137,Olive Growing,A,01,013
class,0139,Other Fruit and Tree Nut Growing,A,01,013
group,014,"Sheep, Beef Cattle and Grain Farming",A,01,014
class,0141,Sheep Farming (Specialised),A,01,014
class,0142,Beef Cattle Farming (Specialised),A,01,014
class,0143,Beef Cattle Feedlots (Specialised),A,01,014
class,0144,Sheep-Beef Cattle Farming,A,01,014
class,0145,Grain-Sheep or Grain-Beef Cattle Farming,A,01,014
class,0146,Rice Growing,A,01,014
class,0149,Other Grain Growing,A,01,014
group,015,Other Crop Growing,A,01,015
class,0151,Sugar Cane Growing,A,01,015
class,0152,Cotton Growing,A,01,015
class,0159,Other Crop Growing n.e.c.,A,01,015
group,016,Dairy Cattle Farming,A,01,016
class,0160,Dairy Cattle Farming,A,01,016
group,017,Poultry Farming,A,01,017
class,0171,Poultry Farming (Meat),A,01,017
class,0172,Poultry Farming (Eggs),A,01,017
group,018,Deer Farming,A,01,018
class,0180,Deer Farming,A,01,018
group,019,Other Livestock Farming,A,01,019
class,0191,Horse Farming,A,01,019
class,0192,Pig Farming,A,01,019
class,0193,Beekeeping,A,01,019
class,0199,Other Livestock Farming n.e.c.,A,01,019
subdivision,02,Aquaculture,A,02,
group,020,Aquaculture,A,02,020
class,0201,Offshore Longline and Rack Aquaculture,A,02,020
class,0202,Offshore Caged Aquaculture,A,02,020
class,0203,Onshore Aquaculture,A,02,020
subdivision,03,Forestry and Logging,A,03,
group,030,Forestry and Logging,A,03,030
class,0301,Forestry,A,03,030
class,0302,Logging,A,03,030
subdivision,04,"Fishing, Hunting and Trapping",A,04,
group,041,Fishing,A,04,041
class,0411,Rock Lobster and Crab Potting,A,04,041
class,0412,Prawn Fishing,A,04,041
class,0413,Line Fishing,A,04,041
class,0414,"Fish Trawling, Seining and Netting",A,04,041
class,0419,Other Fishing,A,04,041
group,042,Hunting and Trapping,A,04,042
class,0420,Hunting and Trapping,A,04,042
subdivision,05,"Agriculture, Forestry and Fishing Support Services",A,05,
group,051,Forestry Support Services,A,05,051
class,0510,Forestry Support Services,A,05,051
group,052,Agriculture and Fishing Support Services,A,05,052
class,0521,Cotton Ginning,A,05,052
class,0522,Shearing Services,A,05,052
class,0529,Other Agriculture and Fishing Support Services,A,05,052
division,B,Mining,B,,
subdivision,06,Coal Mining,B,06,
group,060,Coal Mining,B,06,060
class,0600,Coal Mining,B,06,060
subdivision,07,Oil and Gas Extraction,B,07,
group,070,Oil and Gas Extraction,B,07,070
class,0700,Oil and Gas Extraction,B,07,070
subdivision,08,Metal Ore Mining,B,08,
group,080,Metal Ore Mining,B,08,080
class,0801,Iron Ore Mining,B,08,080
class,0802,Bauxite Mining,B,08,080
class,0803,Copper Ore Mining,B,08,080
